Housing Bureau,,
Backing Unsafely,0,0
Brake Lights (Defect.or  Improper),3,4
"Bus Lane, Driving in",0,0
Cell Phone,0,1
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,4,6
Equipment (Other),1,1
Fail to Keep Right,0,0
Fail to Signal,1,1
Fail to Stop on Signal,1,2
Following Too Closely,0,0
Headlights (Defect. or Improper),1,4
Improper Lights,0,0
Improper Passing,0,1
Improper Turn,0,0
Improper/Missing Plates,0,0
Not Giving R of W to Pedes.,0,0
Not Giving R of W to Veh.,0,0
One Way Street,0,0
Pavement Markings,2,2
Safety Belt,1,1
"School Bus, Passing Stopped",0,1
Speeding,0,0
Spillback,0,0
Tinted Windows,0,0
Truck Routes,0,0
U-Turn,0,0
Uninspected,0,0
Uninsured,1,1
Unlicensed Operator,2,2
Unregistered,0,0
Unsafe Lane Change,1,1
Other Movers,2,4
TOTAL Movers,20,32
